DATE,UEMP27OV
1970-01-01,143.0
1970-02-01,161.0
1970-03-01,181.0
1970-04-01,202.0
1970-05-01,231.0
1970-06-01,224.0
1970-07-01,234.0
1970-08-01,251.0
1970-09-01,281.0
1970-10-01,259.0
1970-11-01,332.0
1970-12-01,383.0
1971-01-01,430.0
1971-02-01,448.0
1971-03-01,453.0
1971-04-01,454.0
1971-05-01,508.0
1971-06-01,541.0
1971-07-01,567.0
1971-08-01,550.0
1971-09-01,563.0
1971-10-01,591.0
1971-11-01,581.0
1971-12-01,583.0
1972-01-01,593.0
1972-02-01,651.0
1972-03-01,632.0
1972-04-01,673.0
1972-05-01,580.0
1972-06-01,550.0
1972-07-01,519.0
1972-08-01,537.0
1972-09-01,548.0
1972-10-01,522.0
1972-11-01,470.0
1972-12-01,455.0
1973-01-01,410.0
1973-02-01,372.0
1973-03-01,388.0
1973-04-01,340.0
1973-05-01,349.0
1973-06-01,325.0
1973-07-01,282.0
1973-08-01,334.0
1973-09-01,295.0
1973-10-01,336.0
1973-11-01,350.0
1973-12-01,328.0
1974-01-01,332.0
1974-02-01,334.0
1974-03-01,330.0
1974-04-01,354.0
1974-05-01,356.0
1974-06-01,367.0
1974-07-01,387.0
1974-08-01,388.0
1974-09-01,391.0
1974-10-01,398.0
1974-11-01,430.0
1974-12-01,538.0
1975-01-01,625.0
1975-02-01,717.0
1975-03-01,769.0
1975-04-01,964.0
1975-05-01,1089.0
1975-06-01,1305.0
1975-07-01,1401.0
1975-08-01,1472.0
1975-09-01,1598.0
1975-10-01,1448.0
1975-11-01,1645.0
1975-12-01,1586.0
1976-01-01,1581.0
1976-02-01,1533.0
1976-03-01,1460.0
1976-04-01,1409.0
1976-05-01,1219.0
1976-06-01,1353.0
1976-07-01,1250.0
1976-08-01,1280.0
1976-09-01,1204.0
1976-10-01,1231.0
1976-11-01,1278.0
1976-12-01,1334.0
1977-01-01,1211.0
1977-02-01,1205.0
1977-03-01,1163.0
1977-04-01,1120.0
1977-05-01,1069.0
1977-06-01,1026.0
1977-07-01,973.0
1977-08-01,898.0
1977-09-01,939.0
1977-10-01,913.0
1977-11-01,896.0
1977-12-01,858.0
1978-01-01,813.0
1978-02-01,667.0
1978-03-01,714.0
1978-04-01,680.0
1978-05-01,692.0
1978-06-01,640.0
1978-07-01,658.0
1978-08-01,612.0
1978-09-01,624.0
1978-10-01,596.0
1978-11-01,533.0
1978-12-01,510.0
1979-01-01,533.0
1979-02-01,552.0
1979-03-01,592.0
1979-04-01,549.0
1979-05-01,520.0
1979-06-01,521.0
1979-07-01,470.0
1979-08-01,534.0
1979-09-01,532.0
1979-10-01,530.0
1979-11-01,551.0
1979-12-01,544.0
1980-01-01,548.0
1980-02-01,508.0
1980-03-01,622.0
1980-04-01,691.0
1980-05-01,719.0
1980-06-01,773.0
1980-07-01,884.0
1980-08-01,930.0
1980-09-01,966.0
1980-10-01,1060.0
1980-11-01,1133.0
1980-12-01,1147.0
1981-01-01,1263.0
1981-02-01,1245.0
1981-03-01,1217.0
1981-04-01,1132.0
1981-05-01,1149.0
1981-06-01,1123.0
1981-07-01,1086.0
1981-08-01,1164.0
1981-09-01,1114.0
1981-10-01,1134.0
1981-11-01,1143.0
1981-12-01,1171.0
1982-01-01,1186.0
1982-02-01,1279.0
1982-03-01,1358.0
1982-04-01,1501.0
1982-05-01,1617.0
1982-06-01,1784.0
1982-07-01,1816.0
1982-08-01,1866.0
1982-09-01,2018.0
1982-10-01,2246.0
1982-11-01,2338.0
1982-12-01,2564.0
1983-01-01,2667.0
1983-02-01,2716.0
1983-03-01,2746.0
1983-04-01,2710.0
1983-05-01,2750.0
1983-06-01,2885.0
1983-07-01,2594.0
1983-08-01,2530.0
1983-09-01,2441.0
1983-10-01,2277.0
1983-11-01,2167.0
1983-12-01,2061.0
1984-01-01,2040.0
1984-02-01,1834.0
1984-03-01,1780.0
1984-04-01,1764.0
1984-05-01,1691.0
1984-06-01,1576.0
1984-07-01,1590.0
1984-08-01,1515.0
1984-09-01,1451.0
1984-10-01,1427.0
1984-11-01,1422.0
1984-12-01,1393.0
1985-01-01,1315.0
1985-02-01,1344.0
1985-03-01,1349.0
1985-04-01,1378.0
1985-05-01,1235.0
1985-06-01,1281.0
1985-07-01,1267.0
1985-08-01,1222.0
1985-09-01,1233.0
1985-10-01,1199.0
1985-11-01,1297.0
1985-12-01,1205.0
1986-01-01,1087.0
1986-02-01,1183.0
1986-03-01,1173.0
1986-04-01,1174.0
1986-05-01,1168.0
1986-06-01,1280.0
1986-07-01,1213.0
1986-08-01,1192.0
1986-09-01,1237.0
1986-10-01,1214.0
1986-11-01,1165.0
1986-12-01,1150.0
1987-01-01,1140.0
1987-02-01,1113.0
1987-03-01,1121.0
1987-04-01,1079.0
1987-05-01,1112.0
1987-06-01,1075.0
1987-07-01,983.0
1987-08-01,1045.0
1987-09-01,989.0
1987-10-01,956.0
1987-11-01,926.0
1987-12-01,900.0
1988-01-01,869.0
1988-02-01,888.0
1988-03-01,848.0
1988-04-01,810.0
1988-05-01,846.0
1988-06-01,805.0
1988-07-01,796.0
1988-08-01,795.0
1988-09-01,813.0
1988-10-01,768.0
1988-11-01,703.0
1988-12-01,739.0
1989-01-01,732.0
1989-02-01,635.0
1989-03-01,670.0
1989-04-01,717.0
1989-05-01,634.0
1989-06-01,613.0
1989-07-01,621.0
1989-08-01,560.0
1989-09-01,599.0
1989-10-01,646.0
1989-11-01,655.0
1989-12-01,635.0
1990-01-01,646.0
1990-02-01,624.0
1990-03-01,637.0
1990-04-01,649.0
1990-05-01,644.0
1990-06-01,640.0
1990-07-01,688.0
1990-08-01,730.0
1990-09-01,781.0
1990-10-01,778.0
1990-11-01,833.0
1990-12-01,831.0
1991-01-01,868.0
1991-02-01,904.0
1991-03-01,951.0
1991-04-01,979.0
1991-05-01,1044.0
1991-06-01,1109.0
1991-07-01,1108.0
1991-08-01,1168.0
1991-09-01,1191.0
1991-10-01,1235.0
1991-11-01,1376.0
1991-12-01,1504.0
1992-01-01,1623.0
1992-02-01,1704.0
1992-03-01,1771.0
1992-04-01,1750.0
1992-05-01,1984.0
1992-06-01,2150.0
1992-07-01,2124.0
1992-08-01,2073.0
1992-09-01,2111.0
1992-10-01,2194.0
1992-11-01,1992.0
1992-12-01,2056.0
1993-01-01,1966.0
1993-02-01,1907.0
1993-03-01,1806.0
1993-04-01,1633.0
1993-05-01,1776.0
1993-06-01,1786.0
1993-07-01,1770.0
1993-08-01,1770.0
1993-09-01,1756.0
1993-10-01,1809.0
1993-11-01,1800.0
1993-12-01,1782.0
1994-01-01,1733.0
1994-02-01,1759.0
1994-03-01,1780.0
1994-04-01,1746.0
1994-05-01,1696.0
1994-06-01,1580.0
1994-07-01,1562.0
1994-08-01,1569.0
1994-09-01,1543.0
1994-10-01,1591.0
1994-11-01,1470.0
1994-12-01,1367.0
1995-01-01,1340.0
1995-02-01,1226.0
1995-03-01,1338.0
1995-04-01,1413.0
1995-05-01,1316.0
1995-06-01,1235.0
1995-07-01,1250.0
1995-08-01,1235.0
1995-09-01,1261.0
1995-10-01,1220.0
1995-11-01,1254.0
1995-12-01,1214.0
1996-01-01,1209.0
1996-02-01,1201.0
1996-03-01,1330.0
1996-04-01,1347.0
1996-05-01,1359.0
1996-06-01,1370.0
1996-07-01,1336.0
1996-08-01,1265.0
1996-09-01,1214.0
1996-10-01,1184.0
1996-11-01,1146.0
1996-12-01,1154.0
1997-01-01,1150.0
1997-02-01,1109.0
1997-03-01,1098.0
1997-04-01,1105.0
1997-05-01,1051.0
1997-06-01,1076.0
1997-07-01,1078.0
1997-08-01,1075.0
1997-09-01,1074.0
1997-10-01,1034.0
1997-11-01,938.0
1997-12-01,984.0
1998-01-01,995.0
1998-02-01,957.0
1998-03-01,918.0
1998-04-01,883.0
1998-05-01,839.0
1998-06-01,789.0
1998-07-01,821.0
1998-08-01,818.0
1998-09-01,916.0
1998-10-01,858.0
1998-11-01,875.0
1998-12-01,803.0
1999-01-01,714.0
1999-02-01,801.0
1999-03-01,714.0
1999-04-01,698.0
1999-05-01,718.0
1999-06-01,812.0
1999-07-01,732.0
1999-08-01,706.0
1999-09-01,709.0
1999-10-01,724.0
1999-11-01,682.0
1999-12-01,680.0
2000-01-01,721.0
2000-02-01,629.0
2000-03-01,646.0
2000-04-01,599.0
2000-05-01,643.0
2000-06-01,627.0
2000-07-01,698.0
2000-08-01,709.0
2000-09-01,646.0
2000-10-01,627.0
2000-11-01,593.0
2000-12-01,642.0
2001-01-01,676.0
2001-02-01,714.0
2001-03-01,696.0
2001-04-01,712.0
2001-05-01,624.0
2001-06-01,710.0
2001-07-01,702.0
2001-08-01,857.0
2001-09-01,819.0
2001-10-01,909.0
2001-11-01,1106.0
2001-12-01,1126.0
2002-01-01,1203.0
2002-02-01,1214.0
2002-03-01,1330.0
2002-04-01,1457.0
2002-05-01,1574.0
2002-06-01,1641.0
2002-07-01,1584.0
2002-08-01,1573.0
2002-09-01,1580.0
2002-10-01,1653.0
2002-11-01,1743.0
2002-12-01,1924.0
2003-01-01,1760.0
2003-02-01,1864.0
2003-03-01,1798.0
2003-04-01,1927.0
2003-05-01,1929.0
2003-06-01,2100.0
2003-07-01,1972.0
2003-08-01,1995.0
2003-09-01,2014.0
2003-10-01,1959.0
2003-11-01,2006.0
2003-12-01,1931.0
2004-01-01,1911.0
2004-02-01,1856.0
2004-03-01,1983.0
2004-04-01,1805.0
2004-05-01,1799.0
2004-06-01,1847.0
2004-07-01,1681.0
2004-08-01,1640.0
2004-09-01,1702.0
2004-10-01,1737.0
2004-11-01,1702.0
2004-12-01,1653.0
2005-01-01,1648.0
2005-02-01,1628.0
2005-03-01,1660.0
2005-04-01,1609.0
2005-05-01,1538.0
2005-06-01,1375.0
2005-07-01,1380.0
2005-08-01,1407.0
2005-09-01,1439.0
2005-10-01,1422.0
2005-11-01,1370.0
2005-12-01,1356.0
2006-01-01,1170.0
2006-02-01,1350.0
2006-03-01,1309.0
2006-04-01,1331.0
2006-05-01,1333.0
2006-06-01,1145.0
2006-07-01,1304.0
2006-08-01,1306.0
2006-09-01,1245.0
2006-10-01,1078.0
2006-11-01,1131.0
2006-12-01,1093.0
2007-01-01,1141.0
2007-02-01,1249.0
2007-03-01,1245.0
2007-04-01,1206.0
2007-05-01,1132.0
2007-06-01,1143.0
2007-07-01,1291.0
2007-08-01,1246.0
2007-09-01,1264.0
2007-10-01,1298.0
2007-11-01,1374.0
2007-12-01,1324.0
2008-01-01,1388.0
2008-02-01,1329.0
2008-03-01,1323.0
2008-04-01,1372.0
2008-05-01,1561.0
2008-06-01,1576.0
2008-07-01,1664.0
2008-08-01,1866.0
2008-09-01,2027.0
2008-10-01,2280.0
2008-11-01,2219.0
2008-12-01,2610.0
2009-01-01,2699.0
2009-02-01,2999.0
2009-03-01,3260.0
2009-04-01,3752.0
2009-05-01,3973.0
2009-06-01,4349.0
2009-07-01,4917.0
2009-08-01,5037.0
2009-09-01,5494.0
2009-10-01,5643.0
2009-11-01,5908.0
2009-12-01,6122.0
2010-01-01,6319.0
2010-02-01,6129.0
2010-03-01,6545.0
2010-04-01,6800.0
2010-05-01,6638.0
2010-06-01,6623.0
2010-07-01,6506.0
2010-08-01,6259.0
2010-09-01,6163.0
2010-10-01,6227.0
2010-11-01,6326.0
2010-12-01,6429.0
2011-01-01,6175.0
2011-02-01,5892.0
2011-03-01,6105.0
2011-04-01,5925.0
2011-05-01,6153.0
2011-06-01,6271.0
2011-07-01,6195.0
2011-08-01,6048.0
2011-09-01,6304.0
2011-10-01,5838.0
2011-11-01,5698.0
2011-12-01,5586.0
2012-01-01,5476.0
2012-02-01,5242.0
2012-03-01,5236.0
2012-04-01,5132.0
2012-05-01,5401.0
2012-06-01,5409.0
2012-07-01,5210.0
2012-08-01,5042.0
2012-09-01,4911.0
2012-10-01,4988.0
2012-11-01,4805.0
2012-12-01,4768.0
2013-01-01,4681.0
2013-02-01,4691.0
2013-03-01,4563.0
2013-04-01,4468.0
2013-05-01,4347.0
2013-06-01,4355.0
2013-07-01,4258.0
2013-08-01,4296.0
2013-09-01,4132.0
2013-10-01,4024.0
2013-11-01,4042.0
2013-12-01,3863.0
2014-01-01,3607.0
2014-02-01,3783.0
2014-03-01,3704.0
2014-04-01,3479.0
2014-05-01,3360.0
2014-06-01,3116.0
2014-07-01,3136.0
2014-08-01,2958.0
2014-09-01,2948.0
2014-10-01,2892.0
2014-11-01,2828.0
2014-12-01,2799.0
2015-01-01,2774.0
2015-02-01,2658.0
2015-03-01,2542.0
2015-04-01,2560.0
2015-05-01,2503.0
2015-06-01,2162.0
2015-07-01,2127.0
2015-08-01,2172.0
2015-09-01,2097.0
2015-10-01,2130.0
2015-11-01,2074.0
2015-12-01,2127.0
2016-01-01,2081.0
2016-02-01,2150.0
2016-03-01,2231.0
2016-04-01,2147.0
2016-05-01,1925.0
2016-06-01,1986.0
2016-07-01,1943.0
2016-08-01,1970.0
2016-09-01,1933.0
2016-10-01,1946.0
2016-11-01,1865.0
2016-12-01,1860.0
2017-01-01,1866.0
2017-02-01,1803.0
2017-03-01,1677.0
2017-04-01,1709.0
2017-05-01,1721.0
2017-06-01,1654.0
2017-07-01,1720.0
2017-08-01,1687.0
2017-09-01,1683.0
2017-10-01,1609.0
2017-11-01,1589.0
2017-12-01,1516.0
2018-01-01,1467.0
2018-02-01,1432.0
2018-03-01,1345.0
2018-04-01,1375.0
2018-05-01,1233.0
2018-06-01,1404.0
2018-07-01,1416.0
2018-08-01,1287.0
2018-09-01,1351.0
2018-10-01,1348.0
2018-11-01,1228.0
2018-12-01,1306.0
2019-01-01,1287.0
2019-02-01,1283.0
2019-03-01,1264.0
2019-04-01,1230.0
2019-05-01,1299.0
2019-06-01,1333.0
2019-07-01,1227.0
2019-08-01,1257.0
2019-09-01,1338.0
2019-10-01,1291.0
2019-11-01,1208.0
2019-12-01,1188.0
2020-01-01,1176.0
2020-02-01,1110.0
2020-03-01,1140.0
2020-04-01,910.0
2020-05-01,1147.0
2020-06-01,1355.0
2020-07-01,1544.0
2020-08-01,1632.0
2020-09-01,2445.0
2020-10-01,3591.0
2020-11-01,3924.0
2020-12-01,3967.0
2021-01-01,4039.0
2021-02-01,4149.0
2021-03-01,4176.0
2021-04-01,4079.0
2021-05-01,3716.0
2021-06-01,3989.0
2021-07-01,3471.0
2021-08-01,3181.0
2021-09-01,2712.0
2021-10-01,2367.0
2021-11-01,2178.0
2021-12-01,1993.0
2022-01-01,1663.0
2022-02-01,1695.0
2022-03-01,1386.0
2022-04-01,1383.0
2022-05-01,1302.0
2022-06-01,1356.0
2022-07-01,1114.0
2022-08-01,1222.0
2022-09-01,1116.0
2022-10-01,1210.0
2022-11-01,1241.0
2022-12-01,1072.0
2023-01-01,1094.0
2023-02-01,1062.0
2023-03-01,1067.0
2023-04-01,1076.0
2023-05-01,1151.0
2023-06-01,1122.0
2023-07-01,1190.0
2023-08-01,1360.0
2023-09-01,1241.0
2023-10-01,1327.0
2023-11-01,1166.0
2023-12-01,1273.0
2024-01-01,1279.0
2024-02-01,1219.0
2024-03-01,1259.0
2024-04-01,1249.0
2024-05-01,1356.0
2024-06-01,1534.0
2024-07-01,1537.0
2024-08-01,1536.0
2024-09-01,1612.0
2024-10-01,1604.0
2024-11-01,1651.0
2024-12-01,1551.0
2025-01-01,1449.0
2025-02-01,1461.0
2025-03-01,1499.0
2025-04-01,1672.0
2025-05-01,1464.0
2025-06-01,1651.0
2025-07-01,1822.0
2025-08-01,1924.0
2025-09-01,1815.0
2025-10-01,
2025-11-01,1910.0
2025-12-01,1948.0
